month,stn_id,median,mean,count
2021-01,467550,1.0,1.1,31
2021-02,467550,1.0,0.96,28
2021-03,467550,1.0,0.93,28
2021-04,467550,1.0,1.07,30
2021-05,467550,0.0,0.41,29
2021-06,467550,0.0,0.38,24
2021-07,467550,0.0,0.48,31
2021-08,467550,1.0,1.13,31
2021-09,467550,1.0,1.15,13
2021-10,467550,1.0,1.4,15
2021-11,467550,0.5,0.67,30
2021-12,467550,1.0,1.06,31
2022-01,467550,1.0,1.1,31
2022-02,467550,1.0,1.36,28
2022-03,467550,1.0,1.16,31
2022-04,467550,1.0,1.4,30
2022-05,467550,1.0,1.32,31
2022-06,467550,1.0,0.93,30
2022-07,467550,1.0,1.0,31
2022-08,467550,1.0,1.0,31
2022-09,467550,1.0,1.17,30
2022-10,467550,1.0,1.32,31
2022-11,467550,0.0,0.33,30
2022-12,467550,1.0,1.06,31
2023-01,467550,1.0,1.06,31
2023-02,467550,0.5,0.75,28
2023-03,467550,1.0,0.94,31
2023-04,467550,1.0,1.3,30
2023-05,467550,1.0,1.0,31
2023-06,467550,1.0,0.67,30
2023-07,467550,1.0,0.84,31
2023-08,467550,1.0,1.03,31
2023-09,467550,1.0,1.13,30
2023-10,467550,1.0,1.32,31
2023-11,467550,0.0,0.13,30
2023-12,467550,1.0,0.74,31
2024-01,467550,1.0,1.03,31
2024-02,467550,1.0,0.79,29
2024-03,467550,1.0,1.1,31
2024-04,467550,1.0,1.63,30
2024-05,467550,1.0,1.18,28
2024-06,467550,0.0,-0.39,28
2024-07,467550,0.0,-0.23,31
2024-08,467550,0.0,0.13,31
2024-09,467550,1.0,0.67,30
2024-10,467550,1.0,1.03,31
2024-11,467550,0.0,0.2,30
2024-12,467550,0.0,0.4,30
2025-01,467550,1.0,0.87,31
2025-02,467550,1.0,0.54,28
2025-03,467550,0.0,-0.68,31
2025-04,467550,0.0,0.37,30
2025-05,467550,-1.0,-0.65,31
2025-06,467550,-1.0,-1.0,30
2025-07,467550,-1.0,-0.94,31
2025-08,467550,-1.0,-1.0,31
2025-09,467550,-1.0,-1.0,30
2025-10,467550,-1.0,-1.0,31
2025-11,467550,-2.0,-1.8,30
2025-12,467550,-2.0,-0.9,31
2008-01,467550,1.0,0.84,31
2008-02,467550,1.0,1.31,29
2008-03,467550,0.0,1.03,31
2008-04,467550,1.0,1.47,30
2008-05,467550,1.0,0.71,31
2008-06,467550,0.5,0.57,30
2008-07,467550,1.0,1.18,28
2008-08,467550,2.0,2.26,31
2008-09,467550,2.0,2.85,27
2008-10,467550,2.0,2.03,31
2008-11,467550,1.0,1.5,28
2015-01,467550,1.0,1.03,31
2015-02,467550,1.0,1.11,28
2015-03,467550,1.0,1.32,31
2015-04,467550,1.0,1.33,30
2015-05,467550,1.0,0.84,31
2015-06,467550,0.0,0.2,30
2015-07,467550,1.0,0.65,31
2015-08,467550,1.0,1.19,31
2015-09,467550,1.0,1.1,30
2015-10,467550,1.0,1.19,31
2015-11,467550,0.0,0.2,30
2015-12,467550,1.0,0.77,31
2016-01,467550,1.0,1.61,31
2016-02,467550,1.0,1.07,29
2016-03,467550,2.0,1.81,31
2016-04,467550,1.0,1.6,30
2016-05,467550,0.0,0.61,31
2016-06,467550,0.0,0.63,30
2016-07,467550,1.0,0.61,31
2016-08,467550,1.0,1.13,31
2016-09,467550,1.0,1.37,30
2016-10,467550,1.0,1.61,31
2016-11,467550,0.0,0.5,30
2016-12,467550,1.0,1.06,31
2017-01,467550,1.0,1.39,31
2017-02,467550,1.0,1.21,28
2017-03,467550,2.0,1.68,31
2017-04,467550,1.0,1.5,30
2017-05,467550,1.0,0.9,31
2017-06,467550,2.5,2.5,2
2017-07,467550,0.0,0.46,24
2017-08,467550,1.0,0.97,31
2017-09,467550,1.0,1.2,30
2017-10,467550,1.0,1.16,31
2017-11,467550,0.0,0.43,30
2017-12,467550,1.0,0.74,31
2018-01,467550,1.0,1.19,31
2018-02,467550,1.0,0.68,28
2018-03,467550,1.0,0.81,31
2018-04,467550,1.0,0.93,30
2018-05,467550,0.0,0.29,31
2018-06,467550,0.0,0.4,30
2018-07,467550,1.0,0.58,31
2018-08,467550,1.0,0.94,31
2018-09,467550,1.0,1.25,16
2018-10,467550,1.0,1.1,31
2018-11,467550,0.0,0.33,30
2018-12,467550,1.0,0.65,31
2019-01,467550,1.0,1.06,31
2019-02,467550,1.0,0.93,28
2019-03,467550,1.0,1.32,31
2019-04,467550,1.0,1.27,30
2019-05,467550,1.0,0.97,31
2019-06,467550,1.0,0.9,30
2019-07,467550,1.0,0.65,31
2019-08,467550,1.0,1.06,31
2019-09,467550,1.0,1.03,30
2019-10,467550,1.0,1.1,31
2019-11,467550,0.0,0.1,30
2019-12,467550,1.0,0.9,31
2020-01,467550,1.0,1.13,31
2020-02,467550,0.0,0.59,29
2020-03,467550,1.0,1.0,27
2020-04,467550,1.0,1.76,29
2020-05,467550,1.0,0.84,31
2020-06,467550,0.0,0.57,30
2020-07,467550,1.0,0.71,31
2020-08,467550,1.0,1.1,31
2020-09,467550,1.0,1.1,30
2020-10,467550,1.0,1.03,31
2020-11,467550,0.0,0.27,30
2020-12,467550,1.0,1.0,31
2021-01,467550,1.0,1.1,31
2021-02,467550,1.0,0.96,28
2021-03,467550,1.0,0.93,28
2021-04,467550,1.0,1.07,30
2021-05,467550,0.0,0.41,29
2021-06,467550,0.0,0.38,24
2021-07,467550,0.0,0.48,31
2021-08,467550,1.0,1.13,31
2021-09,467550,1.0,1.15,13
2021-10,467550,1.0,1.4,15
2021-11,467550,0.5,0.67,30
2021-12,467550,1.0,1.06,31
2022-01,467550,1.0,1.1,31
2022-02,467550,1.0,1.36,28
2022-03,467550,1.0,1.16,31
2022-04,467550,1.0,1.4,30
2022-05,467550,1.0,1.32,31
2022-06,467550,1.0,0.93,30
2022-07,467550,1.0,1.0,31
2022-08,467550,1.0,1.0,31
2022-09,467550,1.0,1.17,30
2022-10,467550,1.0,1.32,31
2022-11,467550,0.0,0.33,30
2022-12,467550,1.0,1.06,31
2023-01,467550,1.0,1.06,31
2023-02,467550,0.5,0.75,28
2023-03,467550,1.0,0.94,31
2023-04,467550,1.0,1.3,30
2023-05,467550,1.0,1.0,31
2023-06,467550,1.0,0.67,30
2023-07,467550,1.0,0.84,31
2023-08,467550,1.0,1.03,31
2023-09,467550,1.0,1.13,30
2023-10,467550,1.0,1.32,31
2023-11,467550,0.0,0.13,30
2023-12,467550,1.0,0.74,31
2024-01,467550,1.0,1.03,31
2024-02,467550,1.0,0.79,29
2024-03,467550,1.0,1.1,31
2024-04,467550,1.0,1.63,30
2024-05,467550,1.0,1.18,28
2024-06,467550,0.0,-0.39,28
2024-07,467550,0.0,-0.23,31
2024-08,467550,0.0,0.13,31
2024-09,467550,1.0,0.67,30
2024-10,467550,1.0,1.03,31
2024-11,467550,0.0,0.2,30
2024-12,467550,0.0,0.4,30
2025-01,467550,1.0,0.87,31
2025-02,467550,1.0,0.54,28
2025-03,467550,0.0,-0.68,31
2025-04,467550,0.0,0.37,30
2025-05,467550,-1.0,-0.65,31
2025-06,467550,-1.0,-1.0,30
2025-07,467550,-1.0,-0.94,31
2025-08,467550,-1.0,-1.0,31
2025-09,467550,-1.0,-1.0,30
2025-10,467550,-1.0,-1.0,31
2025-11,467550,-2.0,-1.8,30
2025-12,467550,-2.0,-0.9,31
